Tumor IGH BCL2 IGL IMMP2L FHIT BCL6 BCL7A DIAPH2 CIITA BACH2 ROBO2 IGK PAX5 RHOH DMD GRID2 DTX1 LPP BCL6-SE IRF8 ST6GAL1 CXCR4 BTG2 ZCCHC7 MYO16 S1PR2 PALM2AKAP2 PIM1 NCOA3 FOXO1 SGK1 SEL1L3 OSBPL10 MYC BLK WNK2 MSH6-SE MIR3681HG KLHL1 ETS1 CFAP251 SUGCT MIR142 TCL1A LHPP UHRF2 RFTN1 MYO1E IL4R BIRC3 VMP1 RUBCNL MCPH1 POU2AF1 LTB IKZF3 CD83 MYBL1 BTG1 BMP7
P8.DHL 24 29 22 28 49 3 3 8 0 5 7 7 2 2 18 4 1 4 4 3 4 0 3 2 10 1 1 0 2 0 0 1 0 0 1 0 1 2 6 0 1 3 0 1 1 0 1 0 0 0 2 1 2 1 0 2 1 0 3 1
P8.FL.a 1 1 3 10 1 0 0 0 0 0 1 1 0 0 1 0 0 3 2 0 3 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
P8.FL.b 39 41 31 46 40 12 6 33 2 5 11 11 2 2 31 16 0 19 5 5 7 0 2 1 6 0 4 0 4 1 0 1 3 0 3 0 2 5 5 1 2 3 1 1 1 1 8 1 0 0 3 0 0 1 0 1 0 0 2 5
P1.DHL 35 71 10 16 0 1 3 51 5 17 3 0 9 7 2 0 10 0 0 8 3 4 7 2 0 3 1 3 1 0 3 1 0 3 7 1 4 2 0 0 3 1 0 1 1 2 1 0 0 1 0 0 0 1 1 1 0 1 0 0
P1.FL 3 24 9 2 3 0 3 2 0 12 1 0 1 2 1 1 2 0 1 0 1 1 2 1 1 2 2 0 1 3 0 0 1 3 2 0 0 1 2 3 1 3 0 0 1 1 0 1 2 0 1 1 1 0 0 0 0 0 0 0
P2.DHL 100 51 69 6 1 23 30 1 29 5 0 0 10 15 7 1 10 8 16 4 1 7 4 4 0 8 4 1 10 4 4 2 7 1 1 5 5 1 0 5 2 2 8 3 5 1 3 6 7 3 3 3 1 4 0 1 0 0 2 3
P2.FL 4 1 4 3 2 0 0 0 1 0 3 0 0 0 1 8 1 1 0 0 1 0 0 1 5 0 0 1 0 2 1 0 0 3 1 1 1 1 0 1 1 0 1 0 0 0 1 2 0 1 0 1 0 1 1 0 1 1 0 0
P6.DHL 90 24 35 83 28 7 10 3 11 14 16 1 10 6 2 13 12 9 3 10 3 5 1 3 5 4 2 10 2 2 4 3 2 1 3 4 1 1 1 0 1 5 2 2 1 0 2 1 0 1 1 3 4 0 1 1 1 2 0 0
P6.FL 29 6 10 0 11 2 0 0 1 0 9 0 0 0 0 5 0 1 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 5 0 1 4 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
P7.DHL 70 55 14 4 7 36 22 0 5 7 6 1 4 7 7 6 0 9 4 1 14 7 8 10 6 4 7 2 1 6 1 6 3 1 0 2 1 4 3 6 4 0 1 2 2 5 1 1 1 3 1 0 0 0 4 1 3 1 0 0
P7.FL 6 5 3 1 1 3 2 0 0 1 1 1 1 1 0 6 0 1 0 0 0 0 0 2 4 0 1 1 0 2 0 2 1 0 0 0 1 1 1 1 1 0 0 0 0 0 0 3 0 0 1 0 0 0 0 0 0 1 0 0
P9.DHL 21 16 4 6 6 2 0 2 2 0 10 34 4 0 2 12 2 5 1 0 0 0 0 1 1 0 2 0 0 2 1 0 1 7 1 0 0 2 2 1 1 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1
P9.FL 5 2 0 3 0 0 0 0 0 0 0 1 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
